"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-08-24,"CZ",1,"0.01",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",2,"0.025",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",3,"0.05",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",4,"0.1",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",5,"0.15",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",6,"0.2",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",7,"0.25",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",8,"0.3",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",9,"0.35",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",9,"0.4",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",10,"0.45",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",11,"0.5",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",12,"0.55",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",13,"0.6",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",14,"0.65",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",15,"0.7",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",16,"0.75",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",17,"0.8",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",19,"0.85",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",21,"0.9",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",24,"0.95",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",27,"0.975",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"CZ",29,"0.99",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"EE",2,"0.01",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"EE",2.97500000000001,"0.025",2025-09-03,"quantile","hospital admissions",0
2025-08-24,"EE",3,"0.05",2025-09-03,"quantile","hospital admissions",0
