"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-02-23,"CZ",3,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",4,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",5,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",6,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",7,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",7,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",8,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",8,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",9,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",9,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",10,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",10,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",11,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",11,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",12,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",12,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",13,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",13,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",14,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",15,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",17,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",18,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"CZ",20,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",157,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",167,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",176,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",187,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",194,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",200,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",205,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",209,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",213,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",217,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",220,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",223,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",227,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",230,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",234,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",238,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",242,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",248,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",254,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",262,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",273.05,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",284,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"GR",297,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",0,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",0,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",0,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",1,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",1,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",2,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",2,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",2,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",3,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",3,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",3,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",4,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",4,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",4,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",5,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",5,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",6,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",6,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",7,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",8,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",9,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",11,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"HU",13,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",21,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",23,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",25,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",27,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",29,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",30,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",31,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",32,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",33,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",34,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",35,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",36,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",37,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",38,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",39,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",40,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",41,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",42,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",44,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",46,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",50,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",52,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"IE",56,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",5,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",6,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",8,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",9,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",10,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",11,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",12,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",12,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",13,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",14,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",14,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",15,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",15,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",16,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",17,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",17,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",18,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",19,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",20,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",21,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",23,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",25,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"LT",27,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",0,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",1,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",2,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",2,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",2,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",3,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"MT",3,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",0,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",0,"0.025",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",0,"0.05",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",1,"0.1",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",1,"0.15",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",1,"0.2",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",1,"0.25",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",2,"0.3",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",2,"0.35",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",3,"0.4",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",3,"0.45",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",3,"0.5",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",4,"0.55",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",5,"0.6",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",5,"0.65",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",6,"0.7",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",7,"0.75",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",7,"0.8",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",9,"0.85",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",10,"0.9",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",12,"0.95",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",13,"0.975",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"PL",16,"0.99",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"SK",0,"0.01",2025-03-05,"quantile","hospital admissions",0
2025-02-23,"SK",0,"0.025",2025-03-05,"quantile","hospital admissions",0
