"target_end_date","location","value","output_type_id","origin_date","output_type","target","horizon"
2025-02-02,"CY",12,"0.01",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",14,"0.025",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",15,"0.05",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",17,"0.1",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",18,"0.15",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",19,"0.2",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",20,"0.25",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",20,"0.3",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",21,"0.35",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",22,"0.4",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",22,"0.45",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",23,"0.5",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",24,"0.55",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",25,"0.6",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",25,"0.65",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",26,"0.7",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",27,"0.75",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",28,"0.8",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",29,"0.85",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",31,"0.9",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",33,"0.95",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",35,"0.975",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CY",37,"0.99",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",0,"0.01",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",0,"0.025",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",1,"0.05",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",1,"0.1",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",2,"0.15",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",2,"0.2",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",3,"0.25",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",3,"0.3",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",4,"0.35",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",4,"0.4",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",5,"0.45",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",5,"0.5",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",6,"0.55",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",6,"0.6",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",7,"0.65",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",7,"0.7",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",8,"0.75",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",9,"0.8",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",10,"0.85",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",11,"0.9",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",13,"0.95",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",15,"0.975",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"CZ",17,"0.99",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",143,"0.01",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",153,"0.025",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",162.95,"0.05",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",174,"0.1",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",182,"0.15",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",189,"0.2",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",195,"0.25",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",200,"0.3",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",204,"0.35",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",209,"0.4",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",213,"0.45",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",218,"0.5",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",222,"0.55",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",226,"0.6",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",231,"0.65",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",235,"0.7",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",239,"0.75",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",245,"0.8",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",253,"0.85",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",262,"0.9",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",275,"0.95",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",285,"0.975",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"GR",298,"0.99",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",0,"0.01",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",0,"0.025",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",0,"0.05",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",1,"0.1",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",1,"0.15",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",1,"0.2",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",1,"0.25",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",2,"0.3",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",2,"0.35",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",2,"0.4",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",2,"0.45",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",3,"0.5",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",3,"0.55",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",3,"0.6",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",3,"0.65",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",4,"0.7",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",4,"0.75",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",4,"0.8",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",5,"0.85",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",5,"0.9",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",6,"0.95",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",7,"0.975",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"HU",8,"0.99",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",35,"0.01",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",38,"0.025",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",40,"0.05",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",43,"0.1",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",45,"0.15",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",46,"0.2",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",48,"0.25",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",49,"0.3",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",50,"0.35",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",51,"0.4",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",52,"0.45",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",53,"0.5",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",54,"0.55",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",55,"0.6",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",56,"0.65",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",57,"0.7",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",59,"0.75",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",60,"0.8",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",62,"0.85",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",64,"0.9",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",67,"0.95",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",70,"0.975",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"IE",74,"0.99",2025-02-12,"quantile","hospital admissions",0
2025-02-02,"LT",3,"0.01",2025-02-12,"quantile","hospital admissions",0
