"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-10-23,"hospital admissions",2024-10-20,1,"CY","median","",11
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.01",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.025",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.05",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.1",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.15",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.2",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.25",0
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.3",1
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.35",4
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.4",6
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.45",8
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.5",10
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.55",12
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.6",14
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.65",17
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.7",19
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.75",22
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.8",25
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.85",29
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.9",33
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.95",39
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.975",45
2024-10-23,"hospital admissions",2024-10-20,1,"CY","quantile","0.99",50
2024-10-23,"hospital admissions",2024-10-27,2,"CY","median","",13
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.01",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.025",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.05",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.1",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.15",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.2",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.25",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.3",0
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.35",1
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.4",5
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.45",9
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.5",12
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.55",16
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.6",19
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.65",23
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.7",27
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.75",31
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.8",36
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.85",41
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.9",48
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.95",58
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.975",68
2024-10-23,"hospital admissions",2024-10-27,2,"CY","quantile","0.99",79
2024-10-23,"hospital admissions",2024-11-03,3,"CY","median","",16
