"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","median","",8
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.01",0
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.025",0
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.05",0
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.1",0
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.15",1
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.2",1
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.25",2
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.3",3
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.35",4
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.4",5
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.45",7
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.5",8
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.55",10
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.6",11
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.65",14
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.7",16
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.75",19
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.8",23
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.85",27
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.9",34
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.95",45
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.975",57
2025-08-27,"hospital admissions",2025-08-24,1,"CZ","quantile","0.99",71
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","median","",7
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.01",0
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.025",0
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.05",0
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.1",0
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.15",1
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.2",2
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.25",3
2025-08-27,"hospital admissions",2025-08-31,2,"CZ","quantile","0.3",5
