origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.75,27
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.25,14
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.3,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.8,16
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.9,32
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.7,26
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.85,30
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.8,28
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.95,36
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.01,8
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.025,9
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.05,10
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.1,11
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.75,16
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.5,14
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.35,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.7,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.85,16
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.05,13
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.1,14
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.2,12
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.25,12
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.975,39
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.99,44
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.15,11
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.65,25
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.2,14
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.4,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.65,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.9,16
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.25,16
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.3,16
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.4,13
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.45,14
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.35,13
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.6,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.55,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.99,17
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.6,24
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.15,14
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.45,15
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.025,12
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.35,17
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.85,21
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.9,22
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.95,24
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.975,25
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.3,13
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.55,15
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.6,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.95,16
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.975,17
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.5,15
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.55,23
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.025,13
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.1,14
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.2,15
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.01,13
2024-10-30,hospital admissions,2024-11-10,3,CY,quantile,0.05,14
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.01,12
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.15,15
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.99,24
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.8,17
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.5,22
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.95,20
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.4,17
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.99,27
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.85,18
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.9,19
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.975,22
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.65,15
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.25,18
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.65,19
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.7,20
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.75,20
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.45,17
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.5,18
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.55,18
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.8,21
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.7,16
2024-10-30,hospital admissions,2024-11-17,4,CY,quantile,0.75,16
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.15,16
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.2,17
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.3,19
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.35,19
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.4,20
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.45,21
2024-10-30,hospital admissions,2024-11-03,2,CY,quantile,0.6,19
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.1,15
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.025,12
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.01,11
2024-10-30,hospital admissions,2024-10-27,1,CY,quantile,0.05,13
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.55,208
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.5,205
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.35,196
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.01,131
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.45,202
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.4,199
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.6,211
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.9,243
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.8,221
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.85,231
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.7,205
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.5,176
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.55,179
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.3,193
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.75,212
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.65,215
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.65,199
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.8,197
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.6,193
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.75,192
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.35,167
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.4,172
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.55,188
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.7,189
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.025,163
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.45,178
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.01,156
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.45,173
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.65,185
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.05,169
2024-10-30,hospital admissions,2024-10-27,1,CZ,quantile,0.3,162
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.1,177
2024-10-30,hospital admissions,2024-11-10,3,CZ,quantile,0.15,182
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.6,182
2024-10-30,hospital admissions,2024-11-03,2,CZ,quantile,0.85,202
