origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.01,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.025,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.05,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.05,1.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.05,1.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.1,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.1,1.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.1,1.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.15,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.15,2.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.15,1.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.15,1.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-06-22,-1,CZ,quantile,0.2,5.0
2025-07-09,hospital admissions,2025-06-29,0,CZ,quantile,0.2,2.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.2,2.0
