origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.01,68
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.01,49
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.01,38
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.01,31
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.025,70
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.025,52
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.025,41
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.025,33
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.05,72
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.05,55
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.05,44
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.05,36
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.1,75
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.1,59
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.1,49
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.1,42
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.15,77
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.15,63
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.15,53
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.15,46
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.2,79
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.2,66
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.2,57
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.2,50
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.25,80
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.25,68
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.25,60
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.25,54
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.3,82
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.3,71
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.3,63
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.3,58
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.35,83
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.35,73
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.35,66
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.35,61
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.4,84
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.4,75
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.4,68
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.4,64
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.45,85
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.45,77
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.45,71
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.45,66
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.5,86
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.5,78
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.5,73
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.5,69
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.55,87
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.55,80
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.55,75
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.55,71
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.6,88
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.6,81
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.6,77
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.6,74
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.65,89
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.65,83
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.65,79
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.65,76
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.7,90
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.7,84
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.7,80
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.7,78
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.75,90
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.75,86
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.75,82
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.75,80
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.8,91
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.8,87
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.8,84
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.8,83
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.85,92
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.85,88
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.85,86
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.85,85
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.9,93
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.9,90
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.9,88
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.9,87
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.95,94
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.95,92
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.95,90
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.95,90
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.975,94
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.975,93
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.975,92
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.975,91
2024-10-16,hospital_admissions,2024-10-13,1,BE,quantile,0.99,95
2024-10-16,hospital_admissions,2024-10-20,2,BE,quantile,0.99,94
2024-10-16,hospital_admissions,2024-10-27,3,BE,quantile,0.99,93
2024-10-16,hospital_admissions,2024-11-03,4,BE,quantile,0.99,93
2024-10-16,hospital_admissions,2024-10-13,1,BE,median,,86
2024-10-16,hospital_admissions,2024-10-20,2,BE,median,,78
2024-10-16,hospital_admissions,2024-10-27,3,BE,median,,73
2024-10-16,hospital_admissions,2024-11-03,4,BE,median,,69
