origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.01,42
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.025,46
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.05,48
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.1,52
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.15,53
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.2,58
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.25,59
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.3,60
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.35,61
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.4,63
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.45,64
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.5,67
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.55,69
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.6,69
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.65,70
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.7,70
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.75,72
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.8,73
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.85,74
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.9,75
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.95,77
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.975,77
2024-12-25,hospital admissions,2024-12-08,-1,CZ,quantile,0.99,77
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.01,42
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.025,46
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.05,48
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.1,52
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.15,53
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.2,58
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.25,59
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.3,60
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.35,61
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.4,63
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.45,64
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.5,67
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.55,69
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.6,69
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.65,70
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.7,70
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.75,71
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.8,73
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.85,73
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.9,75
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.95,77
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.975,77
2024-12-25,hospital admissions,2024-12-15,0,CZ,quantile,0.99,77
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.01,42
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.025,46
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.05,48
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.1,52
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.15,53
2024-12-25,hospital admissions,2024-12-22,1,CZ,quantile,0.2,58
