origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.01,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.025,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.05,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.1,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.15,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.2,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.25,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.3,0
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.35,2.1354721878803167
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.4,4.839733700826127
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.45,7.412264378656088
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.5,10.159380202543117
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.55,13.125262491233183
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.6,15.915941801141447
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.65,18.725031339208606
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.7,21.95319282023901
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.75,25.240102055993002
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.8,28.430352655559155
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.85,32.45402602915127
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.9,37.87518592386781
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.95,44.393984307046885
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.975,50.272280837000885
2025-03-26,hospital admissions,2025-03-23,1,CZ,quantile,0.99,56.21135049289163
2025-03-26,hospital admissions,2025-03-23,1,CZ,median,,10.159380202543117
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.01,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.025,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.05,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.1,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.15,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.2,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.25,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.3,0
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.35,4.556517631138699
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.4,9.956444392684315
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.45,15.071619462368469
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.5,20.340597069450784
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.55,26.079527576889625
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.6,31.42816544553328
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.65,36.93076018944837
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.7,43.34318675628915
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.75,50.070750865278555
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.8,56.7245197008433
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.85,64.90045558506175
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.9,75.69323912735726
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.95,90.53723459465718
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.975,103.0425403624366
2025-03-26,hospital admissions,2025-03-30,2,CZ,quantile,0.99,117.71522325615285
2025-03-26,hospital admissions,2025-03-30,2,CZ,median,,20.340597069450784
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.01,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.025,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.05,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.1,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.15,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.2,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.25,0
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.3,7.39418926048761
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.35,16.484952152429706
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.4,24.497262392035275
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.45,32.22295211093892
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.5,40.34513105977297
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.55,49.09595551641211
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.6,57.12584542413519
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.65,65.72793716491546
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.7,75.06309049284954
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.75,84.75456599474164
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.8,94.92574111440537
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.85,107.53765317292836
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.9,123.80618936454094
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.95,146.3268922585556
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.975,165.85927770564544
2025-03-26,hospital admissions,2025-04-06,3,CZ,quantile,0.99,189.2944692785998
2025-03-26,hospital admissions,2025-04-06,3,CZ,median,,40.34513105977297
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.01,0
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.025,0
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.05,0
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.1,0
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.15,0
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.2,3.808942830814477
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.25,17.88262209200778
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.3,30.756910597501307
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.35,42.84263321678278
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.4,53.74936096208216
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.45,64.4576989437765
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.5,75.12570125508547
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.55,86.35274152465192
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.6,97.02648086230332
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.65,108.58306432132667
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.7,120.75592424767376
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.75,133.7977376118095
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.8,148.13759376693008
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.85,164.88444307910794
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.9,186.22247540576691
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.95,216.20853097426857
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.975,242.9925305510521
2025-03-26,hospital admissions,2025-04-13,4,CZ,quantile,0.99,274.2361815439898
2025-03-26,hospital admissions,2025-04-13,4,CZ,median,,75.12570125508547
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.01,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.025,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.05,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.1,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.15,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.2,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.25,0
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.3,0.3767891452437333
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.35,0.8005369180986888
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.4,1.2153835691107706
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.45,1.571826047409137
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.5,1.942050363193742
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.55,2.338187143352674
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.6,2.733386812383891
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.65,3.1239536909274
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.7,3.531260417601832
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.75,3.9778575235619655
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.8,4.497231029462348
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.85,5.159097186936631
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.9,5.887005213500892
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.95,6.846883796479158
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.975,7.992308513592345
2025-03-26,hospital admissions,2025-03-23,1,FR,quantile,0.99,8.866135914128506
2025-03-26,hospital admissions,2025-03-23,1,FR,median,,1.942050363193742
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.01,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.025,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.05,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.1,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.15,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.2,0
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.25,0.1989644864847686
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.3,1.053507230010125
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.35,1.8957408233800863
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.4,2.6704106862555976
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.45,3.3899887386884657
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.5,4.126000917596884
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.55,4.876960657832824
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.6,5.6502489097533815
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.65,6.445600234500027
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.7,7.294885493728049
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.75,8.217694032948785
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.8,9.243604076654139
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.85,10.542262299735192
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.9,11.938882805306369
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.95,14.02674931943294
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.975,16.11605309660976
2025-03-26,hospital admissions,2025-03-30,2,FR,quantile,0.99,18.11591260601003
2025-03-26,hospital admissions,2025-03-30,2,FR,median,,4.126000917596884
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.01,0
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.025,0
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.05,0
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.1,0
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.15,0
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.2,0.22743436115544413
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.25,1.689058075938025
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.3,2.978871200541529
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.35,4.243400548933615
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.4,5.416797113995724
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.45,6.536733664351937
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.5,7.6471351045028095
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.55,8.749135625943012
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.6,9.909045487577558
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.65,11.08282524810565
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.7,12.347061722065192
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.75,13.722310760438653
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.8,15.215709773254392
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.85,17.047929918797912
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.9,19.22410935646335
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.95,22.267635673957876
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.975,25.370644377103897
2025-03-26,hospital admissions,2025-04-06,3,FR,quantile,0.99,28.545526520783078
2025-03-26,hospital admissions,2025-04-06,3,FR,median,,7.6471351045028095
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.01,0
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.025,0
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.05,0
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.1,0
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.15,1.2217547034288954
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.2,3.580047013357988
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.25,5.513894721418682
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.3,7.272671986131804
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.35,8.908582246028324
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.4,10.464064896659957
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.45,11.960915101128293
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.5,13.421576797685981
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.55,14.916069821618855
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.6,16.47840470849856
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.65,18.046709790084076
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.7,19.69813692827434
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.75,21.532296012277985
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.8,23.4994194101274
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.85,25.897689704216063
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.9,28.747907553294233
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.95,32.843397762331634
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.975,36.96597960852092
2025-03-26,hospital admissions,2025-04-13,4,FR,quantile,0.99,41.07653390390106
2025-03-26,hospital admissions,2025-04-13,4,FR,median,,13.421576797685981
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.01,0
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.025,0
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.05,0
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.1,7.588340350757491
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.15,18.29408088506611
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.2,29.214555657153582
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.25,36.91742938943109
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.3,44.522170329366816
2025-03-26,hospital admissions,2025-03-23,1,GR,quantile,0.35,51.74786045244795
