origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.01,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.025,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.05,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.1,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.15,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.2,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.25,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.3,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.35,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.4,1
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.45,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.5,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.55,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.6,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.65,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.7,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.75,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.8,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.85,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.9,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.95,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.975,2
2024-12-11,hospital admissions,2024-11-24,-1,CY,quantile,0.99,2
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.01,0
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.025,1
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.05,1
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.1,1
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.15,2
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.2,2
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.25,3
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.3,4
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.35,4
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.4,4
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.45,5
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.5,5
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.55,6
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.6,6
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.65,6
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.7,7
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.75,7
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.8,7
2024-12-11,hospital admissions,2024-12-01,0,CY,quantile,0.85,9
