origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.01,17.151032722204192
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.01,13.006626488912318
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.01,9.463092910128845
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.01,6.782890209994013
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.01,4.770591599566729
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.01,3.3263739691335443
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.025,17.95329454462044
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.025,13.722790249133585
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.025,10.079847413379634
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.025,7.266200702377994
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.025,5.069856449327198
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.025,3.4044308269354846
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.05,18.38764391283039
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.05,14.314218412264848
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.05,10.733245200678772
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.05,7.879366177305513
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.05,5.453910036310221
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.05,3.6581729089259167
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.1,19.681300989917613
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.1,15.077084377095373
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.1,11.36120615084988
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.1,8.48797159937676
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.1,6.143126037876521
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.1,4.236474622932396
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.15,20.791536818635983
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.15,16.244660349423064
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.15,12.184391079053084
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.15,9.256437484071856
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.15,6.739329873486089
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.15,4.907723149367874
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.2,22.039062308719647
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.2,17.22852910370566
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.2,13.260434782498384
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.2,9.759029396197624
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.2,7.197186998783478
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.2,5.22857300343125
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.25,22.89042405774152
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.25,17.622488214443106
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.25,13.689775511788737
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.25,10.213708201082357
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.25,7.501718812538976
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.25,5.432239632945441
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.3,23.48863557731799
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.3,18.513901724616463
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.3,14.27799308907041
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.3,10.655882622803828
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.3,7.889508933603897
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.3,5.919993052581725
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.35,23.824877097075134
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.35,18.950816535911457
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.35,14.58533408530389
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.35,11.247954317742758
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.35,8.33071978653149
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.35,6.4954635634403015
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.4,24.338886101776733
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.4,19.39334862855529
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.4,15.006744480498934
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.4,11.911142852815932
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.4,9.63603626627342
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.4,7.232792941560703
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.45,24.78410798852232
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.45,19.73624031071252
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.45,15.648231871101803
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.45,12.333956712264834
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.45,9.942048543578547
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.45,7.793466528061046
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.5,25.111052909234008
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.5,20.182371324693253
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.5,16.269016808846832
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.5,13.186605122522453
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.5,10.321596207363266
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.5,8.342729546578735
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.55,25.530386689606324
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.55,20.659646329907368
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.55,16.94307293397973
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.55,13.82609691932365
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.55,11.14621146870112
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.55,9.311990369166182
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.6,25.916415820011338
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.6,21.014807421747328
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.6,17.573216294237813
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.6,14.67073813670847
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.6,12.037005518656224
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.6,9.86738203813189
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.65,26.372101209565464
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.65,21.67557438683164
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.65,18.21154642978717
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.65,15.692605016014673
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.65,13.015969619312925
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.65,10.41478289113314
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.7,26.960351928609555
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.7,22.30709130692828
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.7,18.91056758881147
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.7,16.001250532708532
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.7,13.599583072943744
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.7,11.451747495079015
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.75,27.789325384406503
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.75,23.013064536415705
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.75,19.608574095913877
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.75,16.796039340061334
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.75,14.772203785982647
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.75,12.588644006015134
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.8,28.944484627865524
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.8,24.32715549738413
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.8,20.470348225973016
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.8,17.80798221710138
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.8,15.595070008667452
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.8,14.16577816732627
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.85,29.699853846901423
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.85,25.42110189526907
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.85,21.45741429202358
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.85,18.68394811914768
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.85,16.65533819292738
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.85,15.508199830152025
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.9,30.572544410562013
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.9,26.21904743404261
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.9,23.191296480792317
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.9,20.1975566711044
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.9,18.6952386080354
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.9,17.888870666884554
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.95,32.339259208030334
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.95,28.872378717866788
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.95,26.098876608954736
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.95,23.84506910531116
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.95,22.63571395248374
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.95,21.73113066565212
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.975,34.41699367117169
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.975,31.27827402642662
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.975,28.818254562001663
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.975,25.480660476795
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.975,23.588983111753723
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.975,23.55316017906713
2025-01-29,hospital admissions,2025-01-12,-1,CZ,quantile,0.99,34.997531474136885
2025-01-29,hospital admissions,2025-01-19,0,CZ,quantile,0.99,31.825923017769988
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.99,29.88156002368014
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.99,27.570251211365367
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.99,25.59122589568442
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.99,24.763569671229263
2025-01-29,hospital admissions,2025-01-12,-1,CZ,median,,25.111052909234008
2025-01-29,hospital admissions,2025-01-19,0,CZ,median,,20.182371324693253
2025-01-29,hospital admissions,2025-01-26,1,CZ,median,,16.269016808846832
2025-01-29,hospital admissions,2025-02-02,2,CZ,median,,13.186605122522453
2025-01-29,hospital admissions,2025-02-09,3,CZ,median,,10.321596207363266
2025-01-29,hospital admissions,2025-02-16,4,CZ,median,,8.342729546578735
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.01,3.0815834795204653
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.01,2.3849591159660903
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.01,1.8969412681620037
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.01,1.5241446998954884
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.01,1.1355006161784489
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.01,0.8228855779447726
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.025,3.2750039624183307
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.025,2.742390344551365
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.025,2.1719626676756887
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.025,1.6150345892978033
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.025,1.200390241880502
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.025,0.9227365094702692
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.05,3.7146611844588606
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.05,3.1055071410323896
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.05,2.4525623147242834
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.05,1.8661028350836464
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.05,1.336719473398157
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.05,0.9852043347300165
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.1,4.466556843995516
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.1,3.753367753619594
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.1,2.882035035107817
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.1,2.237894945432033
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.1,1.7370908643252083
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.1,1.3863157870514051
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.15,4.823266525420228
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.15,4.045197870921609
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.15,3.2509929712196546
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.15,2.4679340498255837
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.15,1.885257264426244
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.15,1.4981999339801924
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.2,4.974460172919291
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.2,4.155771130216974
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.2,3.4853011328727006
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.2,2.9122771629531465
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.2,2.409544465424759
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.2,1.9049053817455257
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.25,5.259633308210011
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.25,4.304854135428156
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.25,3.6774471743431474
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.25,3.189218492080857
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.25,2.740247733824487
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.25,2.197482937281685
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.3,5.4840302711219655
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.3,4.753151360446853
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.3,4.031046222522855
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.3,3.468638558100377
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.3,2.9048251528958127
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.3,2.4532386910569457
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.35,6.007409968360194
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.35,5.034008325822652
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.35,4.252307838600661
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.35,3.609402602844472
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.35,3.03932782898524
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.35,2.622063473731812
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.4,6.309349670952984
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.4,5.369879719774638
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.4,4.505448905218925
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.4,3.8052894715219736
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.4,3.281205089017749
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.4,2.853969528100321
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.45,6.5079710872311685
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.45,5.550002546402227
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.45,4.743039679819985
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.45,4.032259868045471
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.45,3.492661514958101
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.45,2.978742981489216
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.5,6.792812801365342
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.5,5.772492546455136
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.5,5.01061421792422
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.5,4.464609950913915
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.5,4.0343951573595405
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.5,3.5229059888848235
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.55,6.96703328330602
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.55,6.145145813355755
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.55,5.316267566788675
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.55,4.852936525110687
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.55,4.221846798920472
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.55,3.661626923037693
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.6,7.193881269783846
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.6,6.4054654433791125
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.6,5.712347204397831
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.6,5.066234375163913
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.6,4.383542632896985
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.6,3.976970959561212
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.65,7.62821539961733
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.65,6.833177734013381
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.65,6.01553296067619
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.65,5.259394002845511
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.65,4.819172962355828
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.65,4.425961800185698
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.7,7.839180113455014
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.7,7.029466498935861
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.7,6.389146669448486
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.7,5.710791662202349
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.7,5.066991924095366
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.7,4.742359536846301
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.75,8.152312803747398
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.75,7.223731590567955
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.75,6.553611661307514
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.75,6.009586160237502
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.75,5.574574137206322
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.75,5.1298561785702725
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.8,8.435608939666833
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.8,7.536545784877879
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.8,6.786342626703637
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.8,6.344145795383624
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.8,5.879648989039873
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.8,5.393330985839879
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.85,8.722861580996375
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.85,7.833698947933901
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.85,7.168165630381553
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.85,6.744190676038021
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.85,6.421646717430224
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.85,6.081735518601322
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.9,9.076781135717672
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.9,8.257282734196634
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.9,7.818959996463464
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.9,7.331555498457914
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.9,7.090839331011687
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.9,7.255454354653403
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.95,9.411104690676025
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.95,8.698489183619884
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.95,8.112923641143633
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.95,7.936680218058505
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.95,8.013573684703024
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.95,7.981587503411407
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.975,9.84112162624286
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.975,9.03305829577148
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.975,8.440814361694665
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.975,8.28453502002438
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.975,8.520643271053473
2025-01-29,hospital admissions,2025-02-16,4,FR,quantile,0.975,9.094555829052934
2025-01-29,hospital admissions,2025-01-12,-1,FR,quantile,0.99,9.932620363509548
2025-01-29,hospital admissions,2025-01-19,0,FR,quantile,0.99,9.180533412511329
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.99,8.878632064440422
2025-01-29,hospital admissions,2025-02-02,2,FR,quantile,0.99,8.5489538082853
2025-01-29,hospital admissions,2025-02-09,3,FR,quantile,0.99,9.012680339211869
