target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
hospital admissions,CY,2024-12-25,2024-12-22,0.01,1,quantile,0.719802523936794
hospital admissions,CY,2024-12-25,2024-12-22,0.025,1,quantile,0.719802523936794
hospital admissions,CY,2024-12-25,2024-12-22,0.05,1,quantile,0.812162412722699
hospital admissions,CY,2024-12-25,2024-12-22,0.1,1,quantile,1.06531970812414
hospital admissions,CY,2024-12-25,2024-12-22,0.15,1,quantile,1.26548940514849
hospital admissions,CY,2024-12-25,2024-12-22,0.2,1,quantile,1.51968524998022
hospital admissions,CY,2024-12-25,2024-12-22,0.25,1,quantile,1.89939828255087
hospital admissions,CY,2024-12-25,2024-12-22,0.3,1,quantile,2.31868505694008
hospital admissions,CY,2024-12-25,2024-12-22,0.35,1,quantile,2.78554264690441
hospital admissions,CY,2024-12-25,2024-12-22,0.4,1,quantile,3.4494952680184
hospital admissions,CY,2024-12-25,2024-12-22,0.45,1,quantile,4.12905654990578
hospital admissions,CY,2024-12-25,2024-12-22,0.5,1,quantile,5.18842109073045
hospital admissions,CY,2024-12-25,2024-12-22,0.55,1,quantile,6.16472684418093
hospital admissions,CY,2024-12-25,2024-12-22,0.6,1,quantile,7.03672262360022
hospital admissions,CY,2024-12-25,2024-12-22,0.65,1,quantile,8.07408593760547
hospital admissions,CY,2024-12-25,2024-12-22,0.7,1,quantile,9.20319886494465
hospital admissions,CY,2024-12-25,2024-12-22,0.75,1,quantile,10.570759376382
hospital admissions,CY,2024-12-25,2024-12-22,0.8,1,quantile,12.3123767922507
hospital admissions,CY,2024-12-25,2024-12-22,0.85,1,quantile,14.3130476947173
hospital admissions,CY,2024-12-25,2024-12-22,0.9,1,quantile,17.3302790118128
hospital admissions,CY,2024-12-25,2024-12-22,0.95,1,quantile,22.0265423501742
hospital admissions,CY,2024-12-25,2024-12-22,0.975,1,quantile,26.1964542165073
hospital admissions,CY,2024-12-25,2024-12-22,0.99,1,quantile,28.894141369017
hospital admissions,CY,2024-12-25,2024-12-29,0.01,2,quantile,0.987304633990358
hospital admissions,CY,2024-12-25,2024-12-29,0.025,2,quantile,0.992108111099122
hospital admissions,CY,2024-12-25,2024-12-29,0.05,2,quantile,1.22056156602371
hospital admissions,CY,2024-12-25,2024-12-29,0.1,2,quantile,1.48360322910524
hospital admissions,CY,2024-12-25,2024-12-29,0.15,2,quantile,1.72860131406323
hospital admissions,CY,2024-12-25,2024-12-29,0.2,2,quantile,2.09048868612294
hospital admissions,CY,2024-12-25,2024-12-29,0.25,2,quantile,2.51579967361488
hospital admissions,CY,2024-12-25,2024-12-29,0.3,2,quantile,2.91283012937704
hospital admissions,CY,2024-12-25,2024-12-29,0.35,2,quantile,3.26858422044309
hospital admissions,CY,2024-12-25,2024-12-29,0.4,2,quantile,3.98612145667348
hospital admissions,CY,2024-12-25,2024-12-29,0.45,2,quantile,4.74207119689459
hospital admissions,CY,2024-12-25,2024-12-29,0.5,2,quantile,5.36070479937584
hospital admissions,CY,2024-12-25,2024-12-29,0.55,2,quantile,6.49606200750954
hospital admissions,CY,2024-12-25,2024-12-29,0.6,2,quantile,7.5657390532481
