origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.01,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.025,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.05,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.1,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.15,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.2,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.2,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.2,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.2,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.25,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.25,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.25,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.25,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.3,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.3,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.3,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.3,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.35,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.35,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.35,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.35,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.4,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.4,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.4,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.4,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.45,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.45,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.45,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.45,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.5,0.0
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.5,0.0
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.5,0.0
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.5,0.0
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.55,3.375057588743552
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.55,4.836846327115313
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.55,6.737370950408646
2025-07-09,hospital admissions,2025-07-27,4,CZ,quantile,0.55,8.786197220875193
2025-07-09,hospital admissions,2025-07-06,1,CZ,quantile,0.6,8.394539499244162
2025-07-09,hospital admissions,2025-07-13,2,CZ,quantile,0.6,11.775681030193956
2025-07-09,hospital admissions,2025-07-20,3,CZ,quantile,0.6,15.457720679105696
