"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.01",13
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.025",13
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.05",14
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.1",14.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.15",15
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.2",15.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.25",15.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.3",16
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.35",16
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.4",16
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.45",16.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.5",17
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.55",17
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.6",17
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.65",17.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.7",17.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.75",18
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.8",18.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.85",19
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.9",20
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.95",20.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.975",21
2024-10-30,"hospital admissions",2024-10-13,-1,"CY","quantile","0.99",21.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.01",172
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.025",178
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.05",181.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.1",186.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.15",190
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.2",191
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.25",193.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.3",196.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.35",199.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.4",202.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.45",206
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.5",208
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.55",211
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.6",212.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.65",215
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.7",218
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.75",220
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.8",225
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.85",230
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.9",237.5
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.95",248
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.975",256
2024-10-30,"hospital admissions",2024-10-13,-1,"CZ","quantile","0.99",267.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.01",514
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.025",520.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.05",524
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.1",526.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.15",529.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.2",534
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.25",537.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.3",543
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.35",545
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.4",548
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.45",552.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.5",557
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.55",561
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.6",568
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.65",575
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.7",583.5
2024-10-30,"hospital admissions",2024-10-13,-1,"GR","quantile","0.75",592
