origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.010,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.025,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.050,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.100,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.150,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.200,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.250,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.300,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.350,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.400,0.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.450,7.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.500,16.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.550,26.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.600,35.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.650,46.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.700,56.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.750,67.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.800,79.20000000000073
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.850,95.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.900,113.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.950,143.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.975,166.0
2025-08-20,hospital admissions,1,2025-08-17,CY,quantile,0.990,197.01000000000022
2025-08-20,hospital admissions,1,2025-08-17,CY,median,,16.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.010,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.025,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.050,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.100,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.150,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.200,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.250,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.300,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.350,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.400,0.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.450,7.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.500,16.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.550,26.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.600,36.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.650,46.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.700,56.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.750,68.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.800,81.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.850,96.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.900,114.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.950,144.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.975,168.0
2025-08-20,hospital admissions,2,2025-08-24,CY,quantile,0.990,203.0
2025-08-20,hospital admissions,2,2025-08-24,CY,median,,16.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.010,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.025,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.050,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.100,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.150,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.200,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.250,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.300,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.350,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.400,0.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.450,7.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.500,16.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.550,26.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.600,35.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.650,46.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.700,57.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.750,68.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.800,82.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.850,97.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.900,115.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.950,146.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.975,171.0
2025-08-20,hospital admissions,3,2025-08-31,CY,quantile,0.990,203.01000000000022
2025-08-20,hospital admissions,3,2025-08-31,CY,median,,16.0
2025-08-20,hospital admissions,4,2025-09-07,CY,quantile,0.010,0.0
2025-08-20,hospital admissions,4,2025-09-07,CY,quantile,0.025,0.0
