origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.010,0.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.025,0.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.050,0.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.100,0.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.150,1.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.200,3.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.250,5.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.300,6.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.350,8.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.400,9.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.450,10.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.500,11.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.550,12.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.600,13.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.650,15.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.700,16.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.750,17.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.800,19.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.850,23.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.900,26.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.950,33.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.975,44.0
2024-10-23,hospital admissions,1,2024-10-20,CY,quantile,0.990,65.0
2024-10-23,hospital admissions,1,2024-10-20,CY,median,,11.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.010,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.025,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.050,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.100,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.150,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.200,0.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.250,1.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.300,3.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.350,6.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.400,8.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.450,9.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.500,11.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.550,13.0
2024-10-23,hospital admissions,2,2024-10-27,CY,quantile,0.600,15.0
