origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-01-29,hospital admissions,2025-01-26,1,CZ,median,,10.14285714
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.01,8.449275891
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.025,8.716003362
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.05,8.945403702
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.1,9.209887603
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.15,9.388333635
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.2,9.530156885
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.25,9.651828605
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.3,9.76109357
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.35,9.862343843
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.4,9.958420452
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.45,10.05137568
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.5,10.14285714
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.55,10.2343386
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.6,10.32729383
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.65,10.42337044
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.7,10.52462072
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.75,10.63388568
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.8,10.7555574
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.85,10.89738065
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.9,11.07582668
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.95,11.34031058
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.975,11.56971092
2025-01-29,hospital admissions,2025-01-26,1,CZ,quantile,0.99,11.8364384
2025-01-29,hospital admissions,2025-02-02,2,CZ,median,,1.357142857
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.01,0
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.025,0
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.05,0
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.1,0.249882305
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.15,0.461664409
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.2,0.629982111
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.25,0.774383713
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.3,0.904060814
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.35,1.024225974
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.4,1.13825096
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.45,1.248571453
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.5,1.357142857
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.55,1.465714261
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.6,1.576034754
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.65,1.69005974
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.7,1.8102249
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.75,1.939902001
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.8,2.084303603
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.85,2.252621306
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.9,2.46440341
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.95,2.778296391
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.975,3.05055174
2025-01-29,hospital admissions,2025-02-02,2,CZ,quantile,0.99,3.36710742
2025-01-29,hospital admissions,2025-02-09,3,CZ,median,,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.01,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.025,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.05,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.1,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.15,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.2,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.25,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.3,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.35,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.4,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.45,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.5,0
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.55,0.12968251
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.6,0.26145421
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.65,0.397650721
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.7,0.541181329
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.75,0.696073422
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.8,0.868553113
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.85,1.069599258
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.9,1.322561216
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.95,1.697488943
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.975,2.022682832
2025-01-29,hospital admissions,2025-02-09,3,CZ,quantile,0.99,2.400791006
2025-01-29,hospital admissions,2025-02-16,4,CZ,median,,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.01,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.025,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.05,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.1,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.15,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.2,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.25,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.3,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.35,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.4,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.45,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.5,0
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.55,0.154563457
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.6,0.311616937
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.65,0.473944174
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.7,0.645012631
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.75,0.829622393
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.8,1.035194117
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.85,1.274813069
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.9,1.576308426
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.95,2.023169961
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.975,2.410755701
2025-01-29,hospital admissions,2025-02-16,4,CZ,quantile,0.99,2.861407885
2025-01-29,hospital admissions,2025-01-26,1,FR,median,,5.714285714
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.01,5.579357538
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.025,5.600607803
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.05,5.618884204
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.1,5.639955723
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.15,5.654172578
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.2,5.665471683
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.25,5.675165309
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.3,5.683870485
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.35,5.691937127
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.4,5.699591582
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.45,5.706997356
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.5,5.714285714
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.55,5.721574072
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.6,5.728979846
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.65,5.736634301
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.7,5.744700944
2025-01-29,hospital admissions,2025-01-26,1,FR,quantile,0.75,5.75340612
