"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.01",5.62841240857604
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.025",6.49607726154517
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.05",7.34856853003786
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.1",8.47118713473778
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.15",9.32397265068662
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.2",10.0625587196639
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.25",10.7426557879967
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.3",11.3924896138701
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.35",12.0296962183697
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.4",12.6672671878205
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.45",13.3162684762192
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.5",13.9874360819706
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.55",14.6924319299068
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.6",15.4451915512865
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.65",16.2637829414555
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.7",17.1734515262595
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.75",18.212290518125
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.8",19.4432026284612
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.85",20.9833700158704
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.9",23.0957438473905
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.95",26.6240108325159
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.975",30.117925060004
2025-09-17,"hospital admissions",2025-09-14,1,"CZ","quantile","0.99",34.7608444344098
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.01",5.16379976619602
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.025",5.90854195141746
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.05",6.63441983909592
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.1",7.58266235423289
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.15",8.29787148630688
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.2",8.91410814822419
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.25",9.47913117765365
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.3",10.0169971008596
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.35",10.5426165852325
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.4",11.0668583319497
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.45",11.5988668950373
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.5",12.1474042290695
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.55",12.7218831666694
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.6",13.3334524648621
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.65",13.9964712091595
2025-09-17,"hospital admissions",2025-09-21,2,"CZ","quantile","0.7",14.7309046831762
