year,week_number,week_start_date,week_end_date
2024,1,2024-01-01,2024-01-07
2024,2,2024-01-08,2024-01-14
2024,3,2024-01-15,2024-01-21
2024,4,2024-01-22,2024-01-28
2024,5,2024-01-29,2024-02-04
2024,6,2024-02-05,2024-02-11
2024,7,2024-02-12,2024-02-18
2024,8,2024-02-19,2024-02-25
2024,9,2024-02-26,2024-03-03
2024,10,2024-03-04,2024-03-10
2024,11,2024-03-11,2024-03-17
2024,12,2024-03-18,2024-03-24
2024,13,2024-03-25,2024-03-31
2024,14,2024-04-01,2024-04-07
2024,15,2024-04-08,2024-04-14
2024,16,2024-04-15,2024-04-21
2024,17,2024-04-22,2024-04-28
2024,18,2024-04-29,2024-05-05
2024,19,2024-05-06,2024-05-12
2024,20,2024-05-13,2024-05-19
2024,21,2024-05-20,2024-05-26
2024,22,2024-05-27,2024-06-02
2024,23,2024-06-03,2024-06-09
2024,24,2024-06-10,2024-06-16
2024,25,2024-06-17,2024-06-23
2024,26,2024-06-24,2024-06-30
2024,27,2024-07-01,2024-07-07
2024,28,2024-07-08,2024-07-14
2024,29,2024-07-15,2024-07-21
2024,30,2024-07-22,2024-07-28
2024,31,2024-07-29,2024-08-04
2024,32,2024-08-05,2024-08-11
2024,33,2024-08-12,2024-08-18
2024,34,2024-08-19,2024-08-25
2024,35,2024-08-26,2024-09-01
2024,36,2024-09-02,2024-09-08
2024,37,2024-09-09,2024-09-15
2024,38,2024-09-16,2024-09-22
2024,39,2024-09-23,2024-09-29
2024,40,2024-09-30,2024-10-06
2024,41,2024-10-07,2024-10-13
2024,42,2024-10-14,2024-10-20
2024,43,2024-10-21,2024-10-27
2024,44,2024-10-28,2024-11-03
2024,45,2024-11-04,2024-11-10
2024,46,2024-11-11,2024-11-17
2024,47,2024-11-18,2024-11-24
2024,48,2024-11-25,2024-12-01
2024,49,2024-12-02,2024-12-08
2024,50,2024-12-09,2024-12-15
2024,51,2024-12-16,2024-12-22
2024,52,2024-12-23,2024-12-29
