location_name,iso2_code,yearweek,truth_date,value
Austria,AT,2023-W24,2023-06-18,1
Austria,AT,2023-W24,2023-06-18,1
Austria,AT,2023-W23,2023-06-11,1
Austria,AT,2023-W23,2023-06-11,1
Austria,AT,2023-W23,2023-06-11,2
Austria,AT,2023-W22,2023-06-04,2
Austria,AT,2023-W22,2023-06-04,2
Austria,AT,2023-W22,2023-06-04,4
Austria,AT,2023-W21,2023-05-28,1
Austria,AT,2023-W21,2023-05-28,2
Austria,AT,2023-W21,2023-05-28,3
Austria,AT,2023-W20,2023-05-21,2
Austria,AT,2023-W20,2023-05-21,2
Austria,AT,2023-W19,2023-05-14,3
Austria,AT,2023-W19,2023-05-14,1
Austria,AT,2023-W19,2023-05-14,4
Austria,AT,2023-W18,2023-05-07,1
Austria,AT,2023-W18,2023-05-07,1
Austria,AT,2023-W17,2023-04-30,1
Austria,AT,2023-W17,2023-04-30,3
Austria,AT,2023-W17,2023-04-30,4
Austria,AT,2023-W16,2023-04-23,1
Austria,AT,2023-W16,2023-04-23,3
Austria,AT,2023-W16,2023-04-23,4
Austria,AT,2023-W15,2023-04-16,3
Austria,AT,2023-W15,2023-04-16,11
Austria,AT,2023-W15,2023-04-16,14
Austria,AT,2023-W14,2023-04-09,8
Austria,AT,2023-W14,2023-04-09,7
Austria,AT,2023-W14,2023-04-09,15
Austria,AT,2023-W13,2023-04-02,1
Austria,AT,2023-W13,2023-04-02,15
Austria,AT,2023-W13,2023-04-02,14
Austria,AT,2023-W13,2023-04-02,30
Austria,AT,2023-W12,2023-03-26,28
Austria,AT,2023-W12,2023-03-26,39
Austria,AT,2023-W12,2023-03-26,67
Austria,AT,2023-W11,2023-03-19,2
Austria,AT,2023-W11,2023-03-19,35
Austria,AT,2023-W11,2023-03-19,36
Austria,AT,2023-W11,2023-03-19,73
Austria,AT,2023-W10,2023-03-12,2
Austria,AT,2023-W10,2023-03-12,53
Austria,AT,2023-W10,2023-03-12,47
Austria,AT,2023-W10,2023-03-12,102
Austria,AT,2023-W09,2023-03-05,37
Austria,AT,2023-W09,2023-03-05,1
Austria,AT,2023-W09,2023-03-05,34
Austria,AT,2023-W09,2023-03-05,72
Austria,AT,2023-W08,2023-02-26,2
Austria,AT,2023-W08,2023-02-26,59
Austria,AT,2023-W08,2023-02-26,52
Austria,AT,2023-W08,2023-02-26,113
Austria,AT,2023-W07,2023-02-19,4
Austria,AT,2023-W07,2023-02-19,63
Austria,AT,2023-W07,2023-02-19,55
Austria,AT,2023-W07,2023-02-19,122
Austria,AT,2023-W06,2023-02-12,1
Austria,AT,2023-W06,2023-02-12,55
Austria,AT,2023-W06,2023-02-12,1
Austria,AT,2023-W06,2023-02-12,34
Austria,AT,2023-W06,2023-02-12,91
Austria,AT,2023-W05,2023-02-05,1
Austria,AT,2023-W05,2023-02-05,43
Austria,AT,2023-W05,2023-02-05,32
Austria,AT,2023-W05,2023-02-05,76
Austria,AT,2023-W04,2023-01-29,3
Austria,AT,2023-W04,2023-01-29,54
Austria,AT,2023-W04,2023-01-29,28
Austria,AT,2023-W04,2023-01-29,85
Austria,AT,2023-W03,2023-01-22,3
Austria,AT,2023-W03,2023-01-22,35
Austria,AT,2023-W03,2023-01-22,1
Austria,AT,2023-W03,2023-01-22,29
Austria,AT,2023-W03,2023-01-22,68
Austria,AT,2023-W02,2023-01-15,27
Austria,AT,2023-W02,2023-01-15,41
Austria,AT,2023-W02,2023-01-15,68
Austria,AT,2023-W01,2023-01-08,1
Austria,AT,2023-W01,2023-01-08,43
Austria,AT,2023-W01,2023-01-08,82
Austria,AT,2023-W01,2023-01-08,126
Austria,AT,2022-W52,2023-01-01,43
Austria,AT,2022-W52,2023-01-01,68
Austria,AT,2022-W52,2023-01-01,111
Austria,AT,2022-W51,2022-12-25,1
Austria,AT,2022-W51,2022-12-25,86
Austria,AT,2022-W51,2022-12-25,2
Austria,AT,2022-W51,2022-12-25,78
Austria,AT,2022-W51,2022-12-25,167
Austria,AT,2022-W50,2022-12-18,2
Austria,AT,2022-W50,2022-12-18,74
Austria,AT,2022-W50,2022-12-18,84
Austria,AT,2022-W50,2022-12-18,160
Austria,AT,2022-W49,2022-12-11,1
Austria,AT,2022-W49,2022-12-11,68
Austria,AT,2022-W49,2022-12-11,89
Austria,AT,2022-W49,2022-12-11,158
Austria,AT,2022-W48,2022-12-04,3
Austria,AT,2022-W48,2022-12-04,57
Austria,AT,2022-W48,2022-12-04,68
Austria,AT,2022-W48,2022-12-04,128
Austria,AT,2022-W47,2022-11-27,3
Austria,AT,2022-W47,2022-11-27,64
Austria,AT,2022-W47,2022-11-27,81
Austria,AT,2022-W47,2022-11-27,148
Austria,AT,2022-W46,2022-11-20,2
Austria,AT,2022-W46,2022-11-20,51
Austria,AT,2022-W46,2022-11-20,2
Austria,AT,2022-W46,2022-11-20,86
Austria,AT,2022-W46,2022-11-20,141
Austria,AT,2022-W45,2022-11-13,2
Austria,AT,2022-W45,2022-11-13,51
Austria,AT,2022-W45,2022-11-13,1
Austria,AT,2022-W45,2022-11-13,95
Austria,AT,2022-W45,2022-11-13,149
Austria,AT,2022-W44,2022-11-06,1
Austria,AT,2022-W44,2022-11-06,54
Austria,AT,2022-W44,2022-11-06,1
Austria,AT,2022-W44,2022-11-06,84
Austria,AT,2022-W44,2022-11-06,140
Austria,AT,2022-W43,2022-10-30,3
Austria,AT,2022-W43,2022-10-30,63
Austria,AT,2022-W43,2022-10-30,1
Austria,AT,2022-W43,2022-10-30,99
Austria,AT,2022-W43,2022-10-30,166
Austria,AT,2022-W42,2022-10-23,3
Austria,AT,2022-W42,2022-10-23,71
Austria,AT,2022-W42,2022-10-23,110
Austria,AT,2022-W42,2022-10-23,184
Austria,AT,2022-W41,2022-10-16,4
Austria,AT,2022-W41,2022-10-16,96
Austria,AT,2022-W41,2022-10-16,1
Austria,AT,2022-W41,2022-10-16,137
Austria,AT,2022-W41,2022-10-16,238
Austria,AT,2022-W40,2022-10-09,1
Austria,AT,2022-W40,2022-10-09,7
Austria,AT,2022-W40,2022-10-09,17
Austria,AT,2022-W40,2022-10-09,25
Austria,AT,2022-W39,2022-10-02,8
Austria,AT,2022-W39,2022-10-02,142
Austria,AT,2022-W39,2022-10-02,6
Austria,AT,2022-W39,2022-10-02,267
Austria,AT,2022-W39,2022-10-02,423
Austria,AT,2022-W38,2022-09-25,9
Austria,AT,2022-W38,2022-09-25,125
Austria,AT,2022-W38,2022-09-25,6
Austria,AT,2022-W38,2022-09-25,245
Austria,AT,2022-W38,2022-09-25,385
Austria,AT,2022-W37,2022-09-18,13
Austria,AT,2022-W37,2022-09-18,88
Austria,AT,2022-W37,2022-09-18,4
Austria,AT,2022-W37,2022-09-18,191
Austria,AT,2022-W37,2022-09-18,296
Austria,AT,2022-W36,2022-09-11,5
Austria,AT,2022-W36,2022-09-11,65
Austria,AT,2022-W36,2022-09-11,4
Austria,AT,2022-W36,2022-09-11,148
Austria,AT,2022-W36,2022-09-11,222
Austria,AT,2022-W35,2022-09-04,3
Austria,AT,2022-W35,2022-09-04,66
Austria,AT,2022-W35,2022-09-04,1
Austria,AT,2022-W35,2022-09-04,172
Austria,AT,2022-W35,2022-09-04,242
Austria,AT,2022-W34,2022-08-28,11
Austria,AT,2022-W34,2022-08-28,83
Austria,AT,2022-W34,2022-08-28,3
Austria,AT,2022-W34,2022-08-28,164
Austria,AT,2022-W34,2022-08-28,261
Austria,AT,2022-W33,2022-08-21,12
Austria,AT,2022-W33,2022-08-21,94
Austria,AT,2022-W33,2022-08-21,4
Austria,AT,2022-W33,2022-08-21,200
Austria,AT,2022-W33,2022-08-21,310
Austria,AT,2022-W32,2022-08-14,11
Austria,AT,2022-W32,2022-08-14,74
Austria,AT,2022-W32,2022-08-14,3
Austria,AT,2022-W32,2022-08-14,161
Austria,AT,2022-W32,2022-08-14,249
Austria,AT,2022-W31,2022-08-07,4
Austria,AT,2022-W31,2022-08-07,79
Austria,AT,2022-W31,2022-08-07,3
Austria,AT,2022-W31,2022-08-07,212
Austria,AT,2022-W31,2022-08-07,298
Austria,AT,2022-W30,2022-07-31,15
Austria,AT,2022-W30,2022-07-31,114
Austria,AT,2022-W30,2022-07-31,4
Austria,AT,2022-W30,2022-07-31,336
Austria,AT,2022-W30,2022-07-31,469
