location,truth_date,yearweek,value
AT,2023-06-18,2023-W24,1
AT,2023-06-11,2023-W23,2
AT,2023-06-04,2023-W22,4
AT,2023-05-28,2023-W21,3
AT,2023-05-21,2023-W20,2
AT,2023-05-14,2023-W19,4
AT,2023-05-07,2023-W18,1
AT,2023-04-30,2023-W17,4
AT,2023-04-23,2023-W16,4
AT,2023-04-16,2023-W15,14
AT,2023-04-09,2023-W14,15
AT,2023-04-02,2023-W13,30
AT,2023-03-26,2023-W12,67
AT,2023-03-19,2023-W11,73
AT,2023-03-12,2023-W10,102
AT,2023-03-05,2023-W09,72
AT,2023-02-26,2023-W08,113
AT,2023-02-19,2023-W07,122
AT,2023-02-12,2023-W06,91
AT,2023-02-05,2023-W05,76
AT,2023-01-29,2023-W04,85
AT,2023-01-22,2023-W03,68
AT,2023-01-15,2023-W02,68
AT,2023-01-08,2023-W01,126
AT,2023-01-01,2022-W52,111
AT,2022-12-25,2022-W51,167
AT,2022-12-18,2022-W50,160
AT,2022-12-11,2022-W49,158
AT,2022-12-04,2022-W48,128
AT,2022-11-27,2022-W47,148
AT,2022-11-20,2022-W46,141
AT,2022-11-13,2022-W45,149
AT,2022-11-06,2022-W44,140
AT,2022-10-30,2022-W43,166
AT,2022-10-23,2022-W42,184
AT,2022-10-16,2022-W41,238
AT,2022-10-09,2022-W40,25
AT,2022-10-02,2022-W39,423
AT,2022-09-25,2022-W38,385
AT,2022-09-18,2022-W37,296
AT,2022-09-11,2022-W36,222
AT,2022-09-04,2022-W35,242
AT,2022-08-28,2022-W34,261
AT,2022-08-21,2022-W33,310
AT,2022-08-14,2022-W32,249
AT,2022-08-07,2022-W31,298
AT,2022-07-31,2022-W30,469
AT,2022-07-24,2022-W29,559
AT,2022-07-17,2022-W28,609
AT,2022-07-10,2022-W27,449
AT,2022-07-03,2022-W26,409
AT,2022-06-26,2022-W25,377
AT,2022-06-19,2022-W24,269
AT,2022-06-12,2022-W23,191
AT,2022-06-05,2022-W22,205
AT,2022-05-29,2022-W21,170
AT,2022-05-22,2022-W20,173
AT,2022-05-15,2022-W19,230
AT,2022-05-08,2022-W18,287
AT,2022-05-01,2022-W17,332
AT,2022-04-24,2022-W16,331
AT,2022-04-17,2022-W15,457
AT,2022-04-10,2022-W14,569
AT,2022-04-03,2022-W13,743
AT,2022-03-27,2022-W12,953
AT,2022-03-20,2022-W11,870
AT,2022-03-13,2022-W10,875
AT,2022-03-06,2022-W09,786
AT,2022-02-27,2022-W08,752
AT,2022-02-20,2022-W07,763
AT,2022-02-13,2022-W06,707
AT,2022-02-06,2022-W05,711
AT,2022-01-30,2022-W04,621
AT,2022-01-23,2022-W03,486
AT,2022-01-16,2022-W02,391
AT,2022-01-09,2022-W01,276
AT,2022-01-02,2021-W52,225
AT,2021-12-26,2021-W51,209
AT,2021-12-19,2021-W50,327
AT,2021-12-12,2021-W49,441
AT,2021-12-05,2021-W48,752
AT,2021-11-28,2021-W47,1020
AT,2021-11-21,2021-W46,1088
AT,2021-11-14,2021-W45,922
AT,2021-11-07,2021-W44,740
AT,2021-10-31,2021-W43,563
AT,2021-10-24,2021-W42,443
AT,2021-10-17,2021-W41,281
AT,2021-10-10,2021-W40,278
AT,2021-10-03,2021-W39,273
AT,2021-09-26,2021-W38,257
AT,2021-09-19,2021-W37,260
AT,2021-09-12,2021-W36,285
AT,2021-09-05,2021-W35,242
AT,2021-08-29,2021-W34,219
AT,2021-08-22,2021-W33,165
AT,2021-08-15,2021-W32,125
AT,2021-08-08,2021-W31,74
AT,2021-08-01,2021-W30,43
AT,2021-07-25,2021-W29,41
AT,2021-07-18,2021-W28,37
AT,2021-07-11,2021-W27,23
AT,2021-07-04,2021-W26,25
AT,2021-06-27,2021-W25,34
AT,2021-06-20,2021-W24,36
AT,2021-06-13,2021-W23,57
AT,2021-06-06,2021-W22,71
AT,2021-05-30,2021-W21,78
AT,2021-05-23,2021-W20,115
AT,2021-05-16,2021-W19,184
AT,2021-05-09,2021-W18,260
AT,2021-05-02,2021-W17,346
AT,2021-04-25,2021-W16,441
AT,2021-04-18,2021-W15,578
AT,2021-04-11,2021-W14,611
AT,2021-04-04,2021-W13,671
AT,2021-03-28,2021-W12,681
AT,2021-03-21,2021-W11,698
AT,2021-03-14,2021-W10,615
AT,2021-03-07,2021-W09,531
AT,2021-02-28,2021-W08,440
AT,2021-02-21,2021-W07,409
AT,2021-02-14,2021-W06,396
AT,2021-02-07,2021-W05,442
AT,2021-01-31,2021-W04,538
AT,2021-01-24,2021-W03,559
AT,2021-01-17,2021-W02,606
AT,2021-01-10,2021-W01,702
AT,2021-01-10,2020-W53,693
AT,2021-01-03,2020-W52,670
AT,2020-12-27,2020-W51,776
AT,2020-12-20,2020-W50,1051
AT,2020-12-13,2020-W49,1170
AT,2020-12-06,2020-W48,1254
AT,2020-11-29,2020-W47,1432
AT,2020-11-22,2020-W46,1452
AT,2020-11-15,2020-W45,1207
AT,2020-11-08,2020-W44,761
AT,2020-11-01,2020-W43,537
AT,2020-10-25,2020-W42,310
AT,2020-10-18,2020-W41,211
AT,2020-10-11,2020-W40,149
AT,2020-10-04,2020-W39,133
AT,2020-09-27,2020-W38,111
AT,2020-09-20,2020-W37,95
AT,2020-09-13,2020-W36,47
AT,2020-09-06,2020-W35,42
AT,2020-08-30,2020-W34,50
AT,2020-08-23,2020-W33,49
AT,2020-08-16,2020-W32,41
AT,2020-08-09,2020-W31,30
AT,2020-08-02,2020-W30,35
AT,2020-07-26,2020-W29,48
AT,2020-07-19,2020-W28,42
AT,2020-07-12,2020-W27,37
AT,2020-07-05,2020-W26,20
AT,2020-06-28,2020-W25,18
AT,2020-06-21,2020-W24,15
AT,2020-06-14,2020-W23,14
AT,2020-06-07,2020-W22,11
AT,2020-05-31,2020-W21,17
AT,2020-05-24,2020-W20,15
AT,2020-05-17,2020-W19,25
AT,2020-05-10,2020-W18,41
AT,2020-05-03,2020-W17,67
AT,2020-04-26,2020-W16,110
AT,2020-04-19,2020-W15,219
AT,2020-04-12,2020-W14,332
AT,2020-04-05,2020-W13,514
AT,2020-03-29,2020-W12,269
AT,2020-03-22,2020-W11,46
AT,2020-03-15,2020-W10,14
AT,2020-03-08,2020-W09,4
BE,2023-07-02,2023-W26,116
BE,2023-06-25,2023-W25,139
BE,2023-06-18,2023-W24,211
BE,2023-06-11,2023-W23,238
BE,2023-06-04,2023-W22,306
BE,2023-05-28,2023-W21,394
BE,2023-05-21,2023-W20,549
BE,2023-05-14,2023-W19,655
BE,2023-05-07,2023-W18,830
BE,2023-04-30,2023-W17,960
BE,2023-04-23,2023-W16,1184
BE,2023-04-16,2023-W15,1349
BE,2023-04-09,2023-W14,1507
BE,2023-04-02,2023-W13,1954
BE,2023-03-26,2023-W12,2237
BE,2023-03-19,2023-W11,2347
BE,2023-03-12,2023-W10,1981
BE,2023-03-05,2023-W09,1735
BE,2023-02-26,2023-W08,1540
BE,2023-02-19,2023-W07,1215
BE,2023-02-12,2023-W06,950
BE,2023-02-05,2023-W05,808
BE,2023-01-29,2023-W04,663
BE,2023-01-22,2023-W03,857
BE,2023-01-15,2023-W02,1086
BE,2023-01-08,2023-W01,1594
BE,2023-01-01,2022-W52,799
BE,2022-12-25,2022-W51,932
BE,2022-12-18,2022-W50,890
BE,2022-12-11,2022-W49,666
BE,2022-12-04,2022-W48,533
BE,2022-11-27,2022-W47,416
BE,2022-11-20,2022-W46,330
BE,2022-11-13,2022-W45,363
BE,2022-11-06,2022-W44,344
BE,2022-10-30,2022-W43,512
BE,2022-10-23,2022-W42,747
BE,2022-10-16,2022-W41,742
BE,2022-10-09,2022-W40,772
BE,2022-10-02,2022-W39,651
BE,2022-09-25,2022-W38,487
BE,2022-09-18,2022-W37,382
BE,2022-09-11,2022-W36,394
BE,2022-09-04,2022-W35,414
BE,2022-08-28,2022-W34,462
BE,2022-08-21,2022-W33,556
BE,2022-08-14,2022-W32,660
BE,2022-08-07,2022-W31,796
BE,2022-07-31,2022-W30,933
BE,2022-07-24,2022-W29,1099
BE,2022-07-17,2022-W28,1172
BE,2022-07-10,2022-W27,1010
BE,2022-07-03,2022-W26,838
BE,2022-06-26,2022-W25,700
BE,2022-06-19,2022-W24,512
BE,2022-06-12,2022-W23,415
BE,2022-06-05,2022-W22,362
BE,2022-05-29,2022-W21,446
BE,2022-05-22,2022-W20,568
BE,2022-05-15,2022-W19,734
BE,2022-05-08,2022-W18,899
BE,2022-05-01,2022-W17,988
BE,2022-04-24,2022-W16,1253
BE,2022-04-17,2022-W15,1528
BE,2022-04-10,2022-W14,1512
BE,2022-04-03,2022-W13,1535
BE,2022-03-27,2022-W12,1418
BE,2022-03-20,2022-W11,1226
BE,2022-03-13,2022-W10,1024
BE,2022-03-06,2022-W09,985
BE,2022-02-27,2022-W08,1051
BE,2022-02-20,2022-W07,1468
BE,2022-02-13,2022-W06,1958
BE,2022-02-06,2022-W05,2444
BE,2022-01-30,2022-W04,2523
BE,2022-01-23,2022-W03,2068
BE,2022-01-16,2022-W02,1400
BE,2022-01-09,2022-W01,1285
BE,2022-01-02,2021-W52,1037
BE,2021-12-26,2021-W51,996
BE,2021-12-19,2021-W50,1375
BE,2021-12-12,2021-W49,1908
BE,2021-12-05,2021-W48,2174
BE,2021-11-28,2021-W47,2197
BE,2021-11-21,2021-W46,1967
BE,2021-11-14,2021-W45,1622
BE,2021-11-07,2021-W44,1242
BE,2021-10-31,2021-W43,1072
BE,2021-10-24,2021-W42,774
BE,2021-10-17,2021-W41,485
BE,2021-10-10,2021-W40,391
BE,2021-10-03,2021-W39,426
BE,2021-09-26,2021-W38,355
BE,2021-09-19,2021-W37,430
BE,2021-09-12,2021-W36,426
BE,2021-09-05,2021-W35,483
BE,2021-08-29,2021-W34,421
BE,2021-08-22,2021-W33,412
BE,2021-08-15,2021-W32,384
BE,2021-08-08,2021-W31,303
BE,2021-08-01,2021-W30,251
BE,2021-07-25,2021-W29,201
BE,2021-07-18,2021-W28,169
BE,2021-07-11,2021-W27,118
BE,2021-07-04,2021-W26,109
BE,2021-06-27,2021-W25,161
BE,2021-06-20,2021-W24,235
BE,2021-06-13,2021-W23,345
BE,2021-06-06,2021-W22,500
BE,2021-05-30,2021-W21,611
BE,2021-05-23,2021-W20,830
BE,2021-05-16,2021-W19,967
BE,2021-05-09,2021-W18,1139
BE,2021-05-02,2021-W17,1350
BE,2021-04-25,2021-W16,1600
BE,2021-04-18,2021-W15,1643
BE,2021-04-11,2021-W14,1780
BE,2021-04-04,2021-W13,1843
BE,2021-03-28,2021-W12,1693
BE,2021-03-21,2021-W11,1383
BE,2021-03-14,2021-W10,1132
BE,2021-03-07,2021-W09,1021
