target,location,truth_date,year_week,value
hospital admissions,AT,2023-06-18,2023-W24,1
hospital admissions,AT,2023-06-11,2023-W23,2
hospital admissions,AT,2023-06-04,2023-W22,4
hospital admissions,AT,2023-05-28,2023-W21,3
hospital admissions,AT,2023-05-21,2023-W20,2
hospital admissions,AT,2023-05-14,2023-W19,4
hospital admissions,AT,2023-05-07,2023-W18,1
hospital admissions,AT,2023-04-30,2023-W17,4
hospital admissions,AT,2023-04-23,2023-W16,4
hospital admissions,AT,2023-04-16,2023-W15,14
hospital admissions,AT,2023-04-09,2023-W14,15
hospital admissions,AT,2023-04-02,2023-W13,30
hospital admissions,AT,2023-03-26,2023-W12,67
hospital admissions,AT,2023-03-19,2023-W11,73
hospital admissions,AT,2023-03-12,2023-W10,102
hospital admissions,AT,2023-03-05,2023-W09,72
hospital admissions,AT,2023-02-26,2023-W08,113
hospital admissions,AT,2023-02-19,2023-W07,122
hospital admissions,AT,2023-02-12,2023-W06,91
hospital admissions,AT,2023-02-05,2023-W05,76
hospital admissions,AT,2023-01-29,2023-W04,85
hospital admissions,AT,2023-01-22,2023-W03,68
hospital admissions,AT,2023-01-15,2023-W02,68
hospital admissions,AT,2023-01-08,2023-W01,126
hospital admissions,AT,2023-01-01,2022-W52,111
hospital admissions,AT,2022-12-25,2022-W51,167
hospital admissions,AT,2022-12-18,2022-W50,160
hospital admissions,AT,2022-12-11,2022-W49,158
hospital admissions,AT,2022-12-04,2022-W48,128
hospital admissions,AT,2022-11-27,2022-W47,148
hospital admissions,AT,2022-11-20,2022-W46,141
hospital admissions,AT,2022-11-13,2022-W45,149
hospital admissions,AT,2022-11-06,2022-W44,140
hospital admissions,AT,2022-10-30,2022-W43,166
hospital admissions,AT,2022-10-23,2022-W42,184
hospital admissions,AT,2022-10-16,2022-W41,238
hospital admissions,AT,2022-10-09,2022-W40,25
hospital admissions,AT,2022-10-02,2022-W39,423
hospital admissions,AT,2022-09-25,2022-W38,385
hospital admissions,AT,2022-09-18,2022-W37,296
hospital admissions,AT,2022-09-11,2022-W36,222
hospital admissions,AT,2022-09-04,2022-W35,242
hospital admissions,AT,2022-08-28,2022-W34,261
hospital admissions,AT,2022-08-21,2022-W33,310
hospital admissions,AT,2022-08-14,2022-W32,249
hospital admissions,AT,2022-08-07,2022-W31,298
hospital admissions,AT,2022-07-31,2022-W30,469
hospital admissions,AT,2022-07-24,2022-W29,559
hospital admissions,AT,2022-07-17,2022-W28,609
hospital admissions,AT,2022-07-10,2022-W27,449
hospital admissions,AT,2022-07-03,2022-W26,409
hospital admissions,AT,2022-06-26,2022-W25,377
hospital admissions,AT,2022-06-19,2022-W24,269
hospital admissions,AT,2022-06-12,2022-W23,191
hospital admissions,AT,2022-06-05,2022-W22,205
hospital admissions,AT,2022-05-29,2022-W21,170
hospital admissions,AT,2022-05-22,2022-W20,173
hospital admissions,AT,2022-05-15,2022-W19,230
hospital admissions,AT,2022-05-08,2022-W18,287
hospital admissions,AT,2022-05-01,2022-W17,332
hospital admissions,AT,2022-04-24,2022-W16,331
hospital admissions,AT,2022-04-17,2022-W15,457
hospital admissions,AT,2022-04-10,2022-W14,569
hospital admissions,AT,2022-04-03,2022-W13,743
hospital admissions,AT,2022-03-27,2022-W12,953
hospital admissions,AT,2022-03-20,2022-W11,870
hospital admissions,AT,2022-03-13,2022-W10,875
hospital admissions,AT,2022-03-06,2022-W09,786
hospital admissions,AT,2022-02-27,2022-W08,752
hospital admissions,AT,2022-02-20,2022-W07,763
hospital admissions,AT,2022-02-13,2022-W06,707
hospital admissions,AT,2022-02-06,2022-W05,711
hospital admissions,AT,2022-01-30,2022-W04,621
hospital admissions,AT,2022-01-23,2022-W03,486
hospital admissions,AT,2022-01-16,2022-W02,391
hospital admissions,AT,2022-01-09,2022-W01,276
hospital admissions,AT,2022-01-02,2021-W52,225
hospital admissions,AT,2021-12-26,2021-W51,209
hospital admissions,AT,2021-12-19,2021-W50,327
hospital admissions,AT,2021-12-12,2021-W49,441
hospital admissions,AT,2021-12-05,2021-W48,752
hospital admissions,AT,2021-11-28,2021-W47,1020
hospital admissions,AT,2021-11-21,2021-W46,1088
hospital admissions,AT,2021-11-14,2021-W45,922
hospital admissions,AT,2021-11-07,2021-W44,740
hospital admissions,AT,2021-10-31,2021-W43,563
hospital admissions,AT,2021-10-24,2021-W42,443
hospital admissions,AT,2021-10-17,2021-W41,281
hospital admissions,AT,2021-10-10,2021-W40,278
hospital admissions,AT,2021-10-03,2021-W39,273
hospital admissions,AT,2021-09-26,2021-W38,257
hospital admissions,AT,2021-09-19,2021-W37,260
hospital admissions,AT,2021-09-12,2021-W36,285
