target,location,truth_date,year_week,value,data_source
hospital admissions,AT,2023-06-18,2023-W24,1,ERVISS
hospital admissions,AT,2023-06-11,2023-W23,2,ERVISS
hospital admissions,AT,2023-06-04,2023-W22,4,ERVISS
hospital admissions,AT,2023-05-28,2023-W21,3,ERVISS
hospital admissions,AT,2023-05-21,2023-W20,2,ERVISS
hospital admissions,AT,2023-05-14,2023-W19,4,ERVISS
hospital admissions,AT,2023-05-07,2023-W18,1,ERVISS
hospital admissions,AT,2023-04-30,2023-W17,4,ERVISS
hospital admissions,AT,2023-04-23,2023-W16,4,ERVISS
hospital admissions,AT,2023-04-16,2023-W15,14,ERVISS
hospital admissions,AT,2023-04-09,2023-W14,15,ERVISS
hospital admissions,AT,2023-04-02,2023-W13,30,ERVISS
hospital admissions,AT,2023-03-26,2023-W12,67,ERVISS
hospital admissions,AT,2023-03-19,2023-W11,73,ERVISS
hospital admissions,AT,2023-03-12,2023-W10,102,ERVISS
hospital admissions,AT,2023-03-05,2023-W09,72,ERVISS
hospital admissions,AT,2023-02-26,2023-W08,113,ERVISS
hospital admissions,AT,2023-02-19,2023-W07,122,ERVISS
hospital admissions,AT,2023-02-12,2023-W06,91,ERVISS
hospital admissions,AT,2023-02-05,2023-W05,76,ERVISS
hospital admissions,AT,2023-01-29,2023-W04,85,ERVISS
hospital admissions,AT,2023-01-22,2023-W03,68,ERVISS
hospital admissions,AT,2023-01-15,2023-W02,68,ERVISS
hospital admissions,AT,2023-01-08,2023-W01,126,ERVISS
hospital admissions,AT,2023-01-01,2022-W52,111,ERVISS
hospital admissions,AT,2022-12-25,2022-W51,167,ERVISS
hospital admissions,AT,2022-12-18,2022-W50,160,ERVISS
hospital admissions,AT,2022-12-11,2022-W49,158,ERVISS
hospital admissions,AT,2022-12-04,2022-W48,128,ERVISS
hospital admissions,AT,2022-11-27,2022-W47,148,ERVISS
hospital admissions,AT,2022-11-20,2022-W46,141,ERVISS
